Gaia22cwx,3.0,2.0,2.0,31398.617,14.99,-1.027,0.459,86.0,87.0,87.0,6629.572,1.0,0.0,0.0,0.955,0.989,2.699,0.0,0.0,53.0,36.0,0.944,0.978,835.695,27.61,11.0,4.0,0.17,-4.824,0.343,0.018,1671.39,0.0,0.688,0.00331,0.03835,0.14388,0.26231,0.09662,0.00099,0.00089,0.07777,0.14671,0.14859,0.07675,0.00384
Gaia22cws,5.0,0.0,0.0,11867.338,5.62,-2.221,0.678,23.0,28.0,28.0,8734.482,1.0,0.0,0.0,0.143,0.964,1.758,0.0,0.0,15.0,13.0,0.107,0.929,288.12,3.119,9.0,5.0,0.208,-1.564,0.545,0.026,576.24,0.0,0.358,0.00469,0.0154,0.04116,0.12574,0.11866,0.00352,0.0237,0.1554,0.20228,0.22317,0.07306,0.01324
Gaia22cwr,26.0,3.0,0.0,28420.211,21.01,-1.706,0.579,86.0,109.0,112.0,4045.888,1.0,0.0,0.0,0.33,0.67,3.671,0.0,0.0,72.0,40.0,0.321,0.661,891.775,3.74,24.0,9.0,0.189,-1.704,0.401,0.025,1783.55,0.0,0.743,9e-05,0.00274,0.01736,0.07974,0.19564,0.00071,0.00217,0.12185,0.20823,0.25613,0.11243,0.00292
Gaia22cwm,24.0,0.0,0.0,33313.152,30.37,-2.799,0.758,80.0,104.0,104.0,5749.339,1.0,0.0,0.0,0.385,0.413,5.443,0.0,0.0,71.0,33.0,0.375,0.404,929.74,0.565,38.0,9.0,0.295,-1.306,0.799,0.045,1859.48,0.0,0.442,-0.00229,0.0041,0.01842,0.13936,0.1861,0.00445,-0.01174,0.07711,0.17964,0.27353,0.11958,0.01174
Gaia22cwk,19.0,3.0,0.0,36465.949,4.85,-0.514,0.467,80.0,96.0,99.0,7069.6,1.0,1.0,0.0,0.02,1.0,0.878,0.0,0.0,47.0,52.0,0.0,0.99,950.005,6.647,8.0,17.0,0.049,-1.631,0.096,0.005,1900.01,0.0,0.831,-0.0017,0.01656,0.08945,0.20034,0.07845,0.00882,0.00127,0.11477,0.20453,0.15414,0.14651,-0.01314
Gaia22cwj,2.0,2.0,1.0,26685.865,3.37,-0.13,0.373,93.0,93.0,94.0,4708.154,1.0,0.0,0.0,0.105,0.989,0.815,0.0,0.0,63.0,32.0,0.095,0.979,796.1,53.028,12.0,6.0,0.036,-6.71,0.079,0.005,1592.2,0.0,1.109,0.0011,0.00398,0.01745,0.0633,0.07012,0.00124,0.00564,0.08544,0.1949,0.35335,0.19681,0.00667
Gaia22cwd,6.0,0.0,0.0,5542.649,3.13,-2.484,0.811,8.0,14.0,14.0,7897.197,0.0,0.0,0.0,1.0,0.071,1.02,0.0,0.0,6.0,8.0,0.929,0.0,139.165,-1.297,6.0,8.0,0.241,0.171,0.813,0.041,278.33,0.0,0.104,-0.01758,0.00231,0.0662,0.17577,0.21596,-0.00442,0.00765,0.11457,0.1995,0.1829,0.05971,-0.00258
Gaia22cwb,2.0,0.0,0.0,1207.15,0.06,-0.058,0.549,3.0,5.0,5.0,3751.356,0.0,0.0,0.0,1.0,0.2,0.035,0.0,0.0,2.0,3.0,0.8,0.0,38.845,-2.413,2.0,3.0,0.015,0.363,0.023,0.001,77.69,0.0,0.358,0.00143,0.02068,0.11545,0.26269,0.10108,0.00107,0.00117,0.07606,0.16091,0.16927,0.08598,0.00421
Gaia22cvy,61.0,0.0,0.0,45612.824,6.82,-0.68,0.928,68.0,129.0,129.0,6650.127,1.0,0.0,0.0,0.395,0.984,0.839,0.0,0.0,77.0,52.0,0.388,0.977,1212.775,-1.279,65.0,31.0,0.053,-0.409,0.214,0.011,2425.55,0.0,0.118,0.00728,0.02404,0.07168,0.16047,0.12515,0.01009,0.00368,0.07179,0.15148,0.24402,0.12114,0.00918
Gaia22cvx,34.0,0.0,0.0,33493.011,4.14,-0.406,0.887,74.0,108.0,108.0,5461.688,1.0,0.0,1.0,0.167,0.824,0.604,0.0,0.0,63.0,45.0,0.157,0.796,950.93,-0.876,57.0,31.0,0.039,-0.465,0.122,0.007,1901.86,0.0,0.225,-0.01016,-0.01421,0.02265,0.11406,0.12575,0.00037,0.00473,0.13655,0.23025,0.2701,0.1152,0.00471
Gaia22cvv,8.0,0.0,0.0,6084.873,2.46,-2.108,0.899,11.0,19.0,19.0,5743.42,0.0,0.0,0.0,1.0,0.105,0.652,0.0,0.0,9.0,10.0,0.947,0.053,169.89,-0.85,9.0,10.0,0.137,0.579,0.67,0.037,339.78,0.0,0.047,-0.00075,0.02438,0.14057,0.26129,0.13824,0.00358,0.00207,0.08806,0.13899,0.13053,0.06946,0.00359
Gaia22cvt,9.0,2.0,0.0,20253.961,10.53,-2.19,0.633,41.0,48.0,50.0,8158.763,1.0,0.0,1.0,0.68,1.0,2.259,0.0,0.0,28.0,22.0,0.66,0.96,503.04,4.344,10.0,12.0,0.215,-1.673,0.448,0.022,1006.08,0.0,0.499,-0.01728,0.00594,0.14075,0.22835,0.17003,-0.01276,0.02139,0.08923,0.16994,0.20345,0.02665,-0.02568
Gaia22cvn,24.0,2.0,0.0,38812.492,4.09,-0.388,0.792,83.0,105.0,107.0,6908.725,1.0,1.0,0.0,0.224,1.0,0.528,0.0,0.0,55.0,52.0,0.131,0.991,1018.925,3.141,24.0,13.0,0.039,-1.065,0.095,0.005,2037.85,0.0,0.284,0.01018,0.01235,0.06922,0.16828,0.19077,-0.00549,0.00184,0.10579,0.17693,0.17619,0.08327,0.01066
Gaia22cvm,12.0,2.0,0.0,30438.752,3.49,-0.225,0.339,72.0,82.0,84.0,6898.06,1.0,0.0,0.0,0.964,1.0,0.524,0.0,0.0,47.0,37.0,0.952,0.988,799.505,11.28,10.0,5.0,0.042,-2.61,0.056,0.003,1599.01,0.0,1.03,-0.0055,-0.03672,-0.00388,0.00388,0.06319,-0.00704,-0.01831,0.03664,0.22252,0.41536,0.31433,0.01553
Gaia22cvh,9.0,7.0,0.0,37045.612,8.69,-1.716,0.89,86.0,88.0,95.0,7705.355,1.0,1.0,0.0,0.053,0.937,1.425,0.0,0.0,68.0,27.0,0.032,0.926,937.79,6.651,19.0,11.0,0.092,-2.744,0.412,0.021,1875.58,0.0,0.124,-0.00467,-0.00149,-0.00129,0.00728,0.02005,0.01126,0.00758,0.03185,0.11122,0.33489,0.44959,0.03374
Gaia22cvg,16.0,3.0,1.0,38611.108,9.25,-1.005,0.701,97.0,110.0,112.0,6317.218,1.0,1.0,0.0,0.761,0.982,1.41,0.0,0.0,53.0,60.0,0.407,0.973,1044.335,11.692,10.0,9.0,0.083,-2.62,0.2,0.011,2088.67,0.0,0.434,0.00306,0.00836,0.03076,0.1196,0.15513,0.00291,0.01725,0.1444,0.20353,0.21533,0.09188,0.00781
Gaia22cvc,9.0,0.0,0.0,8593.419,2.6,-0.506,0.68,20.0,29.0,29.0,5101.528,1.0,0.0,0.0,1.0,0.069,0.591,0.0,0.0,15.0,14.0,0.966,0.034,249.595,-0.799,8.0,7.0,0.093,-0.262,0.148,0.009,499.19,0.0,0.528,0.0055,0.03486,0.13325,0.26578,0.12197,0.00157,-0.00245,0.06716,0.14605,0.1442,0.07674,0.00538
Gaia22cvb,37.0,2.0,0.0,46514.941,6.37,-0.566,0.834,87.0,122.0,124.0,7265.845,1.0,1.0,0.0,0.153,0.976,0.763,0.0,0.0,68.0,56.0,0.137,0.968,1200.79,1.114,13.0,13.0,0.052,-0.98,0.132,0.007,2401.58,0.0,0.269,0.06906,0.07079,0.10464,0.17518,0.17003,0.02612,-0.00671,0.0618,0.11999,0.13575,0.05861,0.01473
Gaia22cva,25.0,0.0,0.0,24188.585,1.79,-0.29,0.902,65.0,90.0,90.0,4406.225,1.0,0.0,1.0,0.422,1.0,0.285,0.0,0.0,55.0,35.0,0.411,0.967,737.72,-0.369,28.0,28.0,0.02,-0.854,0.078,0.005,1475.44,0.0,0.146,0.00043,0.00107,0.01524,0.1083,0.10094,0.00075,0.00473,0.08389,0.18511,0.25771,0.21307,0.02875
Gaia22cuy,2.0,2.0,2.0,40094.828,15.56,-0.458,0.435,113.0,113.0,113.0,6512.311,1.0,0.0,0.0,0.435,0.991,2.675,0.0,0.0,76.0,39.0,0.426,0.983,1073.52,38.45,12.0,4.0,0.136,-5.792,0.292,0.016,2147.04,0.0,0.725,-0.00119,0.01491,0.08086,0.22865,0.22314,0.01003,0.00791,0.11709,0.13914,0.12222,0.05273,0.00451
Gaia22cux,10.0,2.0,2.0,26743.414,2.27,-0.211,0.534,74.0,82.0,82.0,5680.816,1.0,1.0,0.0,0.881,0.976,0.408,0.0,0.0,46.0,38.0,0.417,0.964,749.405,17.723,7.0,8.0,0.027,-3.649,0.047,0.003,1498.81,0.0,0.902,0.00307,0.00934,0.06427,0.19801,0.21289,0.00683,0.00995,0.11975,0.17098,0.14642,0.06026,-0.00177
Gaia22cus,34.0,2.0,0.0,41460.422,8.02,-0.71,0.849,92.0,124.0,126.0,5969.762,1.0,0.0,0.0,0.032,0.992,0.977,0.0,0.0,82.0,44.0,0.024,0.984,1142.75,0.997,41.0,30.0,0.064,-1.192,0.178,0.01,2285.5,0.0,0.237,0.00434,0.01484,0.05464,0.13371,0.12199,0.0037,0.0091,0.09355,0.24657,0.20996,0.0993,0.00829
Gaia22cuq,6.0,0.0,0.0,4769.409,1.71,-0.893,0.809,7.0,13.0,13.0,7030.82,1.0,0.0,0.0,0.769,0.538,0.76,0.0,0.0,5.0,8.0,0.692,0.462,124.48,-1.882,5.0,8.0,0.142,0.466,0.354,0.019,248.96,0.0,0.327,-0.0036,0.00637,0.08685,0.21742,0.16617,-0.00753,0.00256,0.14179,0.15673,0.17537,0.05487,0.00301
Gaia22cun,35.0,5.0,0.0,64431.577,5.56,-0.398,0.84,144.0,174.0,179.0,6829.386,1.0,1.0,0.0,0.687,1.0,0.556,0.0,0.0,93.0,86.0,0.67,0.994,1698.015,3.364,51.0,19.0,0.031,-1.405,0.085,0.004,3396.03,0.0,0.237,0.01119,0.01209,0.05888,0.20219,0.16829,-0.0017,0.02065,0.10701,0.1459,0.19112,0.08445,-8e-05
Gaia22cum,30.0,1.0,0.0,24602.616,2.35,-0.22,0.88,99.0,128.0,129.0,2633.91,1.0,0.0,1.0,0.535,1.0,0.328,0.0,0.0,99.0,30.0,0.527,0.922,890.74,1.298,97.0,29.0,0.018,-0.913,0.063,0.005,1781.48,0.0,0.207,0.00141,0.01027,0.06696,0.18867,0.12302,0.00128,0.00134,0.0846,0.17315,0.20926,0.1304,0.00965
Gaia22cul,10.0,0.0,0.0,7652.415,27.12,-4.692,0.41,11.0,21.0,21.0,7051.436,1.0,0.0,0.0,0.095,0.905,8.786,0.0,0.0,10.0,11.0,0.048,0.857,199.51,-1.879,5.0,6.0,1.356,-0.067,1.834,0.097,399.02,0.0,1.04,0.00291,0.0389,0.13139,0.2441,0.19722,0.00431,-0.0022,0.07151,0.11352,0.12883,0.06569,0.00382
Gaia22cuf,21.0,3.0,0.0,36311.918,5.39,-0.847,0.845,73.0,91.0,94.0,7593.515,1.0,1.0,0.0,0.181,0.989,0.761,0.0,0.0,62.0,32.0,0.0,0.979,923.715,4.072,21.0,25.0,0.058,-1.862,0.191,0.01,1847.43,0.0,0.167,0.00703,0.03474,0.07553,0.23406,0.13532,0.01477,0.00914,0.12205,0.15066,0.14439,0.07272,-0.00042
Gaia22cue,19.0,4.0,0.0,19397.699,2.1,-0.253,0.859,119.0,134.0,138.0,1666.56,1.0,0.0,0.0,0.297,1.0,0.283,0.0,0.0,108.0,30.0,0.29,0.993,818.05,4.646,96.0,16.0,0.015,-2.215,0.056,0.005,1636.1,0.0,0.186,0.00048,0.00645,0.04319,0.16009,0.17969,0.00195,0.00439,0.12741,0.18767,0.20307,0.08336,0.00226
Gaia22cud,53.0,1.0,1.0,81830.205,8.35,-0.661,0.916,191.0,243.0,243.0,6142.603,1.0,0.0,0.0,0.996,0.795,1.162,0.0,2.0,106.0,138.0,0.992,0.791,2234.085,3.173,63.0,91.0,0.034,1.406,0.185,0.01,4468.17,0.0,0.162,-0.00226,0.02942,0.09101,0.20731,0.22149,0.00226,0.00395,0.11339,0.15498,0.12583,0.05438,-0.00176
