Gaia22cwm,24.0,0.0,0.0,33313.152,30.37,-2.799,0.758,80.0,104.0,104.0,5749.339,1.0,0.0,0.0,0.385,0.413,5.443,0.0,0.0,71.0,33.0,0.375,0.404,929.74,0.565,38.0,9.0,0.295,-1.306,0.799,0.045,1859.48,0.0,0.442,-0.00049,-0.00076,-0.00176,-0.00419,0.00274,0.00102,0.00435,0.00335,-0.00052,0.01649,0.03567,0.03467,0.05169,0.05214,0.08572,0.06383,-0.002,0.00565,0.00393,-0.00139,0.00293,-0.00478,-0.00673,-0.00291,0.00739,0.04363,0.03736,0.04766,0.05292,0.06754,0.07785,0.07878,0.0862,0.07561,0.04989,0.02056,0.00925,0.00154,0.00176,0.00341
Gaia22cwj,2.0,2.0,1.0,26685.865,3.37,-0.13,0.373,93.0,93.0,94.0,4708.154,1.0,0.0,0.0,0.105,0.989,0.815,0.0,0.0,63.0,32.0,0.095,0.979,796.1,53.028,12.0,6.0,0.036,-6.71,0.079,0.005,1592.2,0.0,1.109,0.00025,0.00021,0.00042,0.00013,0.00096,0.00178,0.00186,0.00367,0.00548,0.00777,0.01094,0.01779,0.02489,0.03224,0.04094,0.0052,0.00208,0.00069,-0.00034,0.00024,-0.0001,0.00105,0.00232,0.00716,0.01864,0.03924,0.03189,0.04239,0.0593,0.08408,0.09052,0.10951,0.11817,0.1006,0.07467,0.0443,0.01591,0.00278,0.00085,-0.00047
Gaia22cwb,2.0,0.0,0.0,1207.15,0.06,-0.058,0.549,3.0,5.0,5.0,3751.356,0.0,0.0,0.0,1.0,0.2,0.035,0.0,0.0,2.0,3.0,0.8,0.0,38.845,-2.413,2.0,3.0,0.015,0.363,0.023,0.001,77.69,0.0,0.358,2e-05,1e-05,0.00059,0.00347,0.00556,0.00667,0.01007,0.02121,0.03813,0.05183,0.06271,0.07635,0.09058,0.09647,0.03289,0.00349,0.00145,0.00079,0.00012,-2e-05,-0.00015,0.00041,0.00072,0.00201,0.01334,0.03379,0.04262,0.04549,0.04901,0.05089,0.05317,0.05275,0.0486,0.04248,0.03248,0.0198,0.0083,0.00165,0.00065,-0.00042
Gaia22cvx,34.0,0.0,0.0,33493.011,4.14,-0.406,0.887,74.0,108.0,108.0,5461.688,1.0,0.0,1.0,0.167,0.824,0.604,0.0,0.0,63.0,45.0,0.157,0.796,950.93,-0.876,57.0,31.0,0.039,-0.465,0.122,0.007,1901.86,0.0,0.225,0.00051,-0.001,-0.00531,-0.01172,-0.00623,-0.0011,0.00123,0.00287,0.0094,0.00964,0.02071,0.02724,0.04426,0.07352,0.06747,0.00512,0.00186,0.00035,-0.00047,0.00012,0.00214,-0.00148,0.00048,0.01924,0.03799,0.0459,0.05381,0.06312,0.06999,0.08034,0.08826,0.07834,0.081,0.06584,0.04368,0.02257,0.00706,0.00308,0.00015,2e-05
Gaia22cvv,8.0,0.0,0.0,6084.873,2.46,-2.108,0.899,11.0,19.0,19.0,5743.42,0.0,0.0,0.0,1.0,0.105,0.652,0.0,0.0,9.0,10.0,0.947,0.053,169.89,-0.85,9.0,10.0,0.137,0.579,0.67,0.037,339.78,0.0,0.047,0.00065,-0.00185,-0.00038,0.00447,0.00367,0.00824,0.01423,0.02955,0.04487,0.06075,0.06504,0.0781,0.08776,0.08809,0.0706,0.00815,0.00283,0.00259,-0.00076,0.00071,-6e-05,0.00025,0.00169,0.0037,0.0238,0.03429,0.04054,0.03746,0.04286,0.04458,0.0432,0.04011,0.0359,0.03225,0.02549,0.01788,0.00603,0.00267,-0.00042,0.00046
Gaia22cvg,16.0,3.0,1.0,38611.108,9.25,-1.005,0.701,97.0,110.0,112.0,6317.218,1.0,1.0,0.0,0.761,0.982,1.41,0.0,0.0,53.0,60.0,0.407,0.973,1044.335,11.692,10.0,9.0,0.083,-2.62,0.2,0.011,2088.67,0.0,0.434,-1e-05,0.00116,0.00233,0.00151,0.00268,0.00305,0.00183,0.0034,0.01133,0.01489,0.02521,0.03592,0.04147,0.06054,0.0804,0.02827,0.00318,0.00237,0.00075,-0.00047,0.00041,0.00011,0.00696,0.03291,0.03579,0.04663,0.05547,0.05875,0.06163,0.0665,0.07057,0.06391,0.0636,0.05057,0.03356,0.01854,0.0067,0.00402,0.00371,-0.00017
Gaia22cvc,9.0,0.0,0.0,8593.419,2.6,-0.506,0.68,20.0,29.0,29.0,5101.528,1.0,0.0,0.0,1.0,0.069,0.591,0.0,0.0,15.0,14.0,0.966,0.034,249.595,-0.799,8.0,7.0,0.093,-0.262,0.148,0.009,499.19,0.0,0.528,-0.00065,0.00149,0.00216,0.0082,0.0101,0.0115,0.01266,0.02749,0.04499,0.05566,0.06756,0.07774,0.09012,0.09495,0.05025,0.00581,0.00185,8e-05,0.00124,-0.00028,5e-05,-0.00131,-0.00146,0.00108,0.008,0.03176,0.04039,0.04317,0.04473,0.04434,0.04688,0.04185,0.04195,0.03741,0.02849,0.01785,0.00868,0.00341,0.00034,-0.00054
Gaia22cva,25.0,0.0,0.0,24188.585,1.79,-0.29,0.902,65.0,90.0,90.0,4406.225,1.0,0.0,1.0,0.422,1.0,0.285,0.0,0.0,55.0,35.0,0.411,0.967,737.72,-0.369,28.0,28.0,0.02,-0.854,0.078,0.005,1475.44,0.0,0.146,-0.00022,4e-05,0.00082,-0.0001,0.0003,0.00148,-0.00102,0.002,0.00528,0.00817,0.01722,0.02681,0.04413,0.06816,0.04912,0.0033,0.00028,0.00054,0.00041,1e-05,-0.00013,0.00044,0.00362,0.00445,0.01774,0.03327,0.04539,0.04923,0.05347,0.06624,0.07179,0.07564,0.08302,0.08004,0.07456,0.05924,0.03604,0.01717,0.00198,5e-05
Gaia22cuy,2.0,2.0,2.0,40094.828,15.56,-0.458,0.435,113.0,113.0,113.0,6512.311,1.0,0.0,0.0,0.435,0.991,2.675,0.0,0.0,76.0,39.0,0.426,0.983,1073.52,38.45,12.0,4.0,0.136,-5.792,0.292,0.016,2147.04,0.0,0.725,0.0,-0.00016,-0.00066,3e-05,0.00191,0.00635,0.00993,0.01216,0.01812,0.04689,0.05915,0.07175,0.07636,0.07654,0.08404,0.07061,0.01617,0.00631,0.00189,-0.00099,-0.00124,0.00251,0.00524,0.01359,0.03248,0.04321,0.04237,0.0417,0.04239,0.04189,0.04105,0.03714,0.03426,0.03069,0.01692,0.00995,0.00707,0.00265,-6e-05,-0.00022
Gaia22cum,30.0,1.0,0.0,24602.616,2.35,-0.22,0.88,99.0,128.0,129.0,2633.91,1.0,0.0,1.0,0.535,1.0,0.328,0.0,0.0,99.0,30.0,0.527,0.922,890.74,1.298,97.0,29.0,0.018,-0.913,0.063,0.005,1781.48,0.0,0.207,0.0,9e-05,0.00089,0.00161,0.00247,0.00324,0.00609,0.01269,0.02142,0.03015,0.03973,0.05226,0.07007,0.08471,0.05822,0.00528,0.00185,0.0007,0.00023,-9e-05,-0.00015,0.00022,0.00077,0.00285,0.01538,0.03778,0.0443,0.04726,0.05299,0.05768,0.06172,0.06397,0.06342,0.05735,0.04733,0.03308,0.01669,0.00517,0.00086,-0.00029
Gaia22cul,10.0,0.0,0.0,7652.415,27.12,-4.692,0.41,11.0,21.0,21.0,7051.436,1.0,0.0,0.0,0.095,0.905,8.786,0.0,0.0,10.0,11.0,0.048,0.857,199.51,-1.879,5.0,6.0,1.356,-0.067,1.834,0.097,399.02,0.0,1.04,-0.00029,0.00092,0.00142,0.00282,0.00982,0.01609,0.0164,0.02358,0.04375,0.05869,0.0637,0.06871,0.08437,0.08649,0.0906,0.04416,0.00404,0.00327,0.00034,-7e-05,-0.00026,-0.00061,-0.00097,0.00157,0.018,0.03046,0.03372,0.03481,0.03463,0.03148,0.03474,0.03862,0.04251,0.03557,0.02366,0.01482,0.00508,0.0031,0.0013,-0.00104
Gaia22cue,19.0,4.0,0.0,19397.699,2.1,-0.253,0.859,119.0,134.0,138.0,1666.56,1.0,0.0,0.0,0.297,1.0,0.283,0.0,0.0,108.0,30.0,0.29,0.993,818.05,4.646,96.0,16.0,0.015,-2.215,0.056,0.005,1636.1,0.0,0.186,-6e-05,0.00012,0.00021,0.00084,0.00167,0.00221,0.0031,0.00625,0.01346,0.0223,0.03284,0.04433,0.05926,0.07744,0.08762,0.03587,0.00313,0.00113,0.00025,-0.00013,-0.00019,0.00046,0.00215,0.01588,0.0381,0.0439,0.04803,0.05306,0.05722,0.06087,0.06325,0.06327,0.05861,0.04905,0.03265,0.01581,0.00467,0.00123,0.00024,-0.0001
Gaia22ctm,23.0,1.0,0.0,16334.389,2.19,-0.195,0.869,115.0,137.0,138.0,1287.817,1.0,0.0,0.0,0.072,0.993,0.317,0.0,0.0,113.0,25.0,0.065,0.986,750.68,1.89,69.0,21.0,0.016,-1.682,0.058,0.005,1501.36,0.0,0.216,-7e-05,9e-05,0.00039,0.00103,0.00237,0.0035,0.00492,0.01003,0.02185,0.03379,0.04607,0.05875,0.07789,0.09489,0.08072,0.00943,0.00177,0.00057,0.00021,-0.0001,-8e-05,0.00019,0.00088,0.0039,0.02312,0.04058,0.04639,0.05072,0.05477,0.05799,0.05924,0.05874,0.05359,0.04487,0.03185,0.01728,0.00616,0.00152,0.00034,-0.00016
Gaia22cti,18.0,0.0,0.0,19967.667,40.85,-3.369,0.357,64.0,82.0,82.0,3817.159,1.0,0.0,0.0,0.378,0.39,8.794,0.0,0.0,63.0,19.0,0.366,0.378,638.765,1.106,25.0,6.0,0.504,-1.485,0.885,0.057,1277.53,0.0,1.19,-0.00019,-0.00014,0.00093,0.00313,0.00656,0.00989,0.00932,0.01316,0.02396,0.02934,0.03738,0.04634,0.05949,0.06446,0.07772,0.04704,0.00356,0.00064,0.00028,-0.00028,-9e-05,0.00038,0.00055,0.00492,0.01747,0.04038,0.04044,0.04542,0.04651,0.05375,0.05535,0.05849,0.06029,0.05554,0.04035,0.02935,0.01385,0.00418,0.00107,-0.00081
Gaia22csu,10.0,6.0,0.0,17697.918,1.57,-0.32,0.879,99.0,103.0,109.0,2069.055,1.0,1.0,0.0,0.835,1.0,0.349,0.0,0.0,93.0,16.0,0.128,0.991,694.44,5.705,83.0,10.0,0.015,-2.698,0.085,0.007,1388.88,0.0,0.154,-1e-05,1e-05,0.00014,0.00027,0.00045,0.0007,0.00112,0.00249,0.00577,0.00961,0.01625,0.02623,0.04429,0.06624,0.05252,0.00315,0.00104,0.0004,0.00012,-9e-05,-6e-05,0.00018,0.00073,0.00423,0.0236,0.03702,0.04641,0.05561,0.06557,0.07501,0.08397,0.09202,0.09197,0.08362,0.06164,0.03335,0.01123,0.00281,0.00068,-0.00029
