0,BIRCH,K-Means,MiniBatchKMeans,BisectingKMeans,AggCluWard, Class
Gaia19ako,4.0,5.0,6.0,4.0,7.0,unknown
Gaia19akn,4.0,5.0,6.0,4.0,1.0,QSO
Gaia19akl,7.0,1.0,5.0,2.0,1.0,unknown
Gaia19akj,3.0,4.0,2.0,3.0,1.0,unknown
Gaia19akg,7.0,1.0,2.0,2.0,1.0,CV
Gaia19akb,3.0,4.0,3.0,7.0,1.0,unknown
Gaia19aka,3.0,4.0,2.0,3.0,1.0,CV
Gaia19ajz,4.0,5.0,6.0,4.0,7.0,unknown
Gaia19ajt,4.0,1.0,2.0,3.0,1.0,unknown
Gaia19ajr,0.0,1.0,2.0,3.0,0.0,unknown
Gaia19ajp,0.0,6.0,6.0,5.0,0.0,unknown
Gaia19ajj,0.0,6.0,3.0,5.0,0.0,unknown
Gaia19ajh,7.0,1.0,2.0,2.0,1.0,unknown
Gaia19ajf,7.0,1.0,2.0,2.0,1.0,CV
Gaia19aiw,5.0,0.0,4.0,0.0,2.0,SN IIL
Gaia19ait,4.0,1.0,5.0,2.0,1.0,CV
Gaia19aiq,5.0,0.0,0.0,1.0,2.0,CCSN
Gaia19aim,5.0,0.0,4.0,0.0,2.0,SN IIn
Gaia19aii,7.0,1.0,2.0,3.0,1.0,CV
Gaia19aif,7.0,1.0,5.0,2.0,1.0,unknown
Gaia19aid,5.0,0.0,4.0,1.0,2.0,SN IIn
Gaia19aht,5.0,0.0,4.0,0.0,2.0,SN IIP
Gaia19ahk,4.0,4.0,2.0,3.0,7.0,QSO
Gaia19ahg,4.0,6.0,6.0,4.0,0.0,unknown
Gaia19agw,4.0,5.0,6.0,4.0,1.0,AGN
Gaia19agt,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia19ags,5.0,0.0,0.0,1.0,2.0,unknown
Gaia19agn,7.0,1.0,2.0,3.0,1.0,unknown
Gaia19agh,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia19agg,0.0,7.0,3.0,5.0,1.0,unknown
Gaia19agd,4.0,4.0,1.0,5.0,7.0,YSO
Gaia19agc,5.0,0.0,4.0,0.0,2.0,unknown
Gaia19aga,7.0,1.0,5.0,2.0,1.0,unknown
Gaia19afz,7.0,1.0,5.0,2.0,1.0,unknown
Gaia19afy,7.0,1.0,5.0,2.0,1.0,unknown
Gaia19afx,1.0,1.0,2.0,2.0,4.0,unknown
Gaia19afv,3.0,3.0,3.0,7.0,5.0,unknown
Gaia19afq,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia19afc,7.0,1.0,2.0,2.0,1.0,unknown
Gaia19afb,7.0,4.0,1.0,0.0,1.0,unknown
Gaia19aeu,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia19aem,7.0,1.0,2.0,2.0,1.0,unknown
Gaia19ael,0.0,6.0,6.0,4.0,0.0,BL Lac
Gaia19aek,7.0,1.0,2.0,2.0,1.0,CV
Gaia19aei,4.0,4.0,2.0,3.0,1.0,unknown
Gaia19aee,3.0,4.0,2.0,3.0,1.0,unknown
Gaia19adl,0.0,6.0,3.0,5.0,7.0,unknown
Gaia19adi,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia19acw,5.0,0.0,4.0,0.0,2.0,SN IIP
Gaia19aci,4.0,5.0,2.0,3.0,1.0,QSO
Gaia19abx,5.0,0.0,4.0,0.0,2.0,SN II
Gaia19abv,4.0,5.0,6.0,4.0,7.0,unknown
Gaia19abm,5.0,0.0,4.0,0.0,2.0,unknown
Gaia19abf,4.0,4.0,2.0,3.0,7.0,QSO
Gaia19abe,7.0,1.0,5.0,2.0,1.0,unknown
Gaia19aau,0.0,6.0,6.0,5.0,0.0,Varstar
Gaia19aat,7.0,1.0,2.0,2.0,1.0,unknown
Gaia19aap,4.0,5.0,6.0,4.0,7.0,QSO
Gaia19aal,7.0,0.0,0.0,1.0,2.0,unknown
Gaia19aak,3.0,3.0,3.0,7.0,5.0,unknown
Gaia19aah,3.0,4.0,2.0,3.0,1.0,CV
Gaia19aaf,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18ear,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18eap,3.0,6.0,3.0,5.0,0.0,unknown
Gaia18eaj,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18eai,4.0,4.0,2.0,3.0,7.0,QSO
Gaia18ead,0.0,6.0,3.0,5.0,0.0,unknown
Gaia18dzz,3.0,3.0,3.0,7.0,5.0,unknown
Gaia18dzq,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18dzp,5.0,0.0,4.0,1.0,2.0,unknown
Gaia18dzl,7.0,1.0,2.0,2.0,1.0,CV
Gaia18dze,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18dyt,0.0,7.0,3.0,6.0,1.0,BL Lac
Gaia18dyj,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18dyi,4.0,4.0,2.0,3.0,1.0,QSO
Gaia18dyh,4.0,4.0,6.0,3.0,7.0,QSO
Gaia18dyd,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18dyb,4.0,5.0,6.0,4.0,7.0,unknown
Gaia18dya,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dxu,5.0,0.0,4.0,1.0,2.0,unknown
Gaia18dxh,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dwz,7.0,1.0,5.0,2.0,1.0,CV
Gaia18dwy,7.0,1.0,2.0,3.0,1.0,CV
Gaia18dwr,4.0,5.0,6.0,4.0,7.0,AGN
Gaia18dwd,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18dwa,5.0,0.0,0.0,1.0,2.0,SN II
Gaia18dvz,0.0,6.0,3.0,5.0,0.0,unknown
Gaia18dvy,0.0,6.0,3.0,5.0,0.0,unknown
Gaia18dvv,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dvt,3.0,3.0,2.0,3.0,5.0,CV
Gaia18dvm,5.0,0.0,4.0,0.0,2.0,SN II
Gaia18dvk,7.0,1.0,5.0,2.0,1.0,CV
Gaia18dvj,0.0,7.0,3.0,7.0,0.0,unknown
Gaia18dvi,0.0,6.0,3.0,5.0,0.0,unknown
Gaia18dvc,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18duy,7.0,1.0,2.0,3.0,1.0,CV
Gaia18duw,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18duk,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18duj,5.0,0.0,1.0,0.0,2.0,SN Ia
Gaia18duh,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dug,3.0,7.0,3.0,5.0,1.0,QSO
Gaia18dtx,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dtm,4.0,5.0,6.0,4.0,7.0,unknown
Gaia18dtk,7.0,1.0,5.0,2.0,1.0,CV
Gaia18dsw,4.0,1.0,5.0,2.0,1.0,CV
Gaia18dsv,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18dss,3.0,4.0,3.0,5.0,0.0,BL Lac
Gaia18dsp,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18dsm,3.0,3.0,2.0,7.0,5.0,unknown
Gaia18dsl,7.0,1.0,2.0,2.0,1.0,unknown
Gaia18dry,4.0,5.0,6.0,3.0,1.0,QSO
Gaia18drw,7.0,1.0,2.0,3.0,1.0,unknown
Gaia18drm,3.0,4.0,5.0,2.0,1.0,unknown
Gaia18drb,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18dqs,3.0,4.0,1.0,7.0,0.0,unknown
Gaia18dqq,7.0,1.0,2.0,3.0,1.0,CV
Gaia18dqk,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18dqi,0.0,4.0,1.0,7.0,7.0,unknown
Gaia18dqg,4.0,4.0,2.0,3.0,7.0,QSO
Gaia18dqf,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dqe,3.0,1.0,2.0,2.0,1.0,unknown
Gaia18dpz,5.0,0.0,0.0,1.0,2.0,SN Ia
Gaia18dpc,5.0,0.0,4.0,0.0,2.0,SN Ia
Gaia18dox,7.0,1.0,2.0,2.0,1.0,unknown
Gaia18dow,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18doo,0.0,5.0,6.0,4.0,0.0,Varstar
Gaia18dom,6.0,2.0,5.0,2.0,6.0,unknown
Gaia18doi,5.0,0.0,4.0,0.0,2.0,SN IIP
Gaia18doh,5.0,0.0,4.0,0.0,2.0,SN II
Gaia18doe,5.0,0.0,4.0,0.0,2.0,unknown
Gaia18doc,4.0,4.0,2.0,3.0,1.0,unknown
Gaia18dnx,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18dnw,7.0,1.0,5.0,2.0,1.0,CV
Gaia18dnv,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dnu,0.0,6.0,3.0,5.0,0.0,unknown
Gaia18dnt,0.0,6.0,3.0,5.0,0.0,unknown
Gaia18dno,7.0,1.0,2.0,2.0,1.0,CV
Gaia18dnn,7.0,1.0,5.0,2.0,1.0,CV
Gaia18dnl,7.0,1.0,5.0,2.0,1.0,unknown
Gaia18dng,5.0,0.0,4.0,0.0,2.0,unknown
Gaia18dnf,5.0,0.0,0.0,1.0,2.0,unknown
Gaia18dnb,0.0,4.0,3.0,5.0,0.0,unknown
Gaia18dna,7.0,1.0,5.0,2.0,1.0,unknown
