0,K-Means,DBSCAN,MiniBatchKMeans,BisectingKMeans,AggCluAvarage,AggCluComplete,AggCluSingle,AggCluWard, Class
Gaia22cib,3.0,0.0,6.0,4.0,0.0,1.0,0.0,5.0,unknown
Gaia22cia,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,BL Lac
Gaia22chh,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22chc,6.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22cgs,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,QSO
Gaia22cgr,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,CV
Gaia22cgo,0.0,0.0,1.0,6.0,0.0,1.0,0.0,6.0,SN Ia
Gaia22cga,6.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,QSO
Gaia22cfz,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22cfw,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,unknown
Gaia22cfj,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22cfb,5.0,0.0,2.0,4.0,0.0,1.0,0.0,3.0,unknown
Gaia22cey,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22cek,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22ceh,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22cdr,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,unknown
Gaia22cdc,5.0,0.0,2.0,4.0,0.0,1.0,0.0,3.0,unknown
Gaia22cdb,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22ccv,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,YSO
Gaia22cci,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,CV
Gaia22cbw,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,unknown
Gaia22cbs,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22cbr,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,unknown
Gaia22cbn,3.0,0.0,6.0,1.0,0.0,1.0,0.0,3.0,QSO
Gaia22cbl,5.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22cax,5.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22caw,5.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,CV
Gaia22cav,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,YSO
Gaia22cap,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22can,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,unknown
Gaia22cam,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22cah,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,unknown
Gaia22cag,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,unknown
Gaia22cac,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,SN IIP
Gaia22bzy,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,unknown
Gaia22bzs,5.0,0.0,2.0,4.0,0.0,1.0,0.0,3.0,unknown
Gaia22bzm,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,unknown
Gaia22bzg,2.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22bzf,3.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,BL Lac
Gaia22byn,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,BL Lac
Gaia22byf,2.0,-1.0,3.0,3.0,3.0,5.0,5.0,4.0,unknown
Gaia22bxu,5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,AGN
Gaia22bxt,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bxs,0.0,0.0,4.0,5.0,0.0,1.0,0.0,6.0,SN II
Gaia22bxp,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22bxj,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bxc,6.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22bwz,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,unknown
Gaia22bwp,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bwm,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,SN Ia
Gaia22bwj,0.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,SN Ia
Gaia22bwd,6.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22bwb,3.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bvx,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,SN Ia
Gaia22bvu,2.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22bvq,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bvp,0.0,0.0,4.0,6.0,0.0,1.0,0.0,6.0,SN Ib
Gaia22bvm,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22bvb,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22buz,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22buy,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22bux,3.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22buv,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,unknown
Gaia22buq,3.0,0.0,6.0,0.0,0.0,1.0,0.0,5.0,unknown
Gaia22buo,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22bum,6.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22buk,6.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,unknown
Gaia22bud,3.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22buc,6.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22btx,5.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,unknown
Gaia22btm,6.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22btj,5.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,unknown
Gaia22bti,0.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,unknown
Gaia22bth,2.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,unknown
Gaia22bsu,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,SN
Gaia22bsp,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,unknown
Gaia22bsn,2.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,unknown
Gaia22bsm,2.0,0.0,3.0,3.0,0.0,1.0,0.0,4.0,unknown
