0,DBSCAN
Gaia22cdd,0
Gaia22cdc,-1
Gaia22cdb,-1
Gaia22cda,0
Gaia22ccz,0
Gaia22ccw,0
Gaia22ccv,-1
Gaia22ccu,0
Gaia22ccs,0
Gaia22ccr,0
Gaia22ccq,0
Gaia22cco,0
Gaia22ccn,-1
Gaia22ccl,-1
Gaia22cci,0
Gaia22cch,-1
Gaia22cce,0
Gaia22ccd,0
Gaia22ccc,0
Gaia22ccb,0
Gaia22cca,0
Gaia22cby,0
Gaia22cbw,0
Gaia22cbt,-1
Gaia22cbs,0
Gaia22cbr,0
Gaia22cbq,-1
Gaia22cbp,0
Gaia22cbo,0
Gaia22cbn,-1
Gaia22cbm,0
Gaia22cbk,0
Gaia22cbj,0
Gaia22cbi,0
Gaia22cbh,0
Gaia22cbg,0
Gaia22cbf,0
Gaia22cbe,0
Gaia22cbd,0
Gaia22cbc,-1
Gaia22cbb,0
Gaia22cay,0
Gaia22cax,-1
Gaia22caw,-1
Gaia22cav,-1
Gaia22cau,0
Gaia22cap,-1
Gaia22cao,-1
Gaia22can,4
Gaia22caj,0
Gaia22cai,0
Gaia22cag,0
Gaia22caf,-1
Gaia22cae,0
Gaia22cac,0
Gaia22bzz,0
Gaia22bzx,0
Gaia22bzw,0
Gaia22bzv,0
Gaia22bzu,0
Gaia22bzt,0
Gaia22bzs,-1
Gaia22bzq,0
Gaia22bzo,5
Gaia22bzn,0
Gaia22bzm,-1
Gaia22bzl,0
Gaia22bzk,0
Gaia22bzj,0
Gaia22bzh,0
Gaia22bzg,-1
Gaia22bze,0
Gaia22bzd,0
Gaia22bzc,0
Gaia22bzb,0
Gaia22byz,0
Gaia22byx,0
Gaia22byv,0
Gaia22byt,0
Gaia22bys,0
Gaia22byq,-1
Gaia22byp,0
Gaia22byo,0
Gaia22byn,-1
Gaia22byl,0
Gaia22byk,0
Gaia22byj,0
Gaia22byi,0
Gaia22byh,0
Gaia22byg,0
Gaia22byf,0
Gaia22bye,0
Gaia22byd,0
Gaia22byb,0
Gaia22bya,0
Gaia22bxy,0
Gaia22bxx,-1
Gaia22bxw,-1
Gaia22bxv,0
Gaia22bxu,-1
Gaia22bxt,0
Gaia22bxs,0
Gaia22bxr,0
Gaia22bxn,0
Gaia22bxk,0
Gaia22bxj,0
Gaia22bxi,0
Gaia22bxh,0
Gaia22bxe,0
Gaia22bxd,-1
Gaia22bxc,6
Gaia22bwz,0
Gaia22bwx,0
Gaia22bww,0
Gaia22bwv,0
Gaia22bwu,0
Gaia22bwr,0
Gaia22bwq,0
Gaia22bwp,-1
Gaia22bwo,0
Gaia22bwn,-1
Gaia22bwm,0
Gaia22bwj,0
Gaia22bwi,0
Gaia22bwf,0
Gaia22bwd,-1
Gaia22bwb,-1
Gaia22bvw,0
Gaia22bvv,0
Gaia22bvu,-1
Gaia22bvt,0
Gaia22bvs,-1
Gaia22bvr,-1
Gaia22bvq,0
Gaia22bvp,0
Gaia22bvn,0
Gaia22bvm,0
Gaia22bvl,-1
Gaia22bvk,0
Gaia22bvj,0
Gaia22bvi,-1
Gaia22bvf,0
Gaia22bvc,0
Gaia22bvb,-1
Gaia22bva,0
Gaia22buz,0
Gaia22buy,-1
Gaia22bux,0
Gaia22buw,0
Gaia22buv,0
Gaia22bur,0
Gaia22buq,-1
Gaia22bup,0
Gaia22buo,0
Gaia22bun,0
Gaia22bum,-1
Gaia22buk,0
Gaia22bug,-1
Gaia22bue,-1
Gaia22bud,0
Gaia22buc,0
Gaia22bub,0
Gaia22btz,0
Gaia22bty,0
Gaia22btw,0
Gaia22btu,0
Gaia22bto,0
Gaia22btn,0
Gaia22btm,0
Gaia22btl,-1
Gaia22btj,-1
Gaia22bti,0
Gaia22bth,0
Gaia22btg,-1
Gaia22btf,0
Gaia22bte,7
Gaia22btd,0
Gaia22btc,0
Gaia22bta,0
Gaia22bsz,0
Gaia22bsy,0
Gaia22bsx,0
Gaia22bsu,0
Gaia22bss,-1
Gaia22bsr,0
Gaia22bsp,0
Gaia22bsm,0
Gaia22bsl,0
Gaia22bsk,-1
Gaia22bsj,0
Gaia22bsi,0
Gaia22bsh,0
Gaia22bsg,0
Gaia22bsf,-1
Gaia22bse,0
Gaia22bsd,0
Gaia22bsb,-1
Gaia22bsa,-1
Gaia22brx,0
Gaia22brw,0
Gaia22brv,0
Gaia22bru,0
Gaia22brt,0
Gaia22brs,0
Gaia22brr,8
Gaia22brq,0
Gaia22brp,9
Gaia22bro,-1
Gaia22brm,0
Gaia22brl,0
Gaia22brk,0
Gaia22brj,-1
Gaia22bri,-1
Gaia22brh,0
Gaia22brg,0
Gaia22brf,0
Gaia22bre,-1
Gaia22bra,-1
Gaia22bqz,-1
Gaia22bqy,0
Gaia22bqx,0
Gaia22bqw,-1
Gaia22bqr,0
Gaia22bqq,-1
Gaia22bqp,-1
Gaia22bqn,0
Gaia22bqm,10
Gaia22bql,0
Gaia22bqk,-1
Gaia22bqj,0
Gaia22bqf,0
Gaia22bqe,-1
Gaia22bqd,0
Gaia22bqc,0
Gaia22bqb,-1
Gaia22bqa,0
Gaia22bpz,0
Gaia22bpy,0
Gaia22bpx,0
Gaia22bpw,-1
Gaia22bpv,0
Gaia22bps,0
Gaia22bpr,0
Gaia22bpq,0
Gaia22bpo,0
Gaia22bpn,-1
Gaia22bpl,-1
Gaia22bpk,0
Gaia22bpj,0
Gaia22bpi,11
Gaia22bpg,0
Gaia22bpe,-1
Gaia22bpd,0
Gaia22bpc,-1
Gaia22bpb,0
Gaia22bpa,-1
Gaia22bow,-1
Gaia22bov,-1
Gaia22bou,-1
Gaia22bot,0
Gaia22bos,-1
Gaia22bor,8
Gaia22boq,0
Gaia22bop,-1
Gaia22bol,0
Gaia22boj,0
Gaia22boh,0
Gaia22bog,0
Gaia22boe,-1
Gaia22bod,-1
Gaia22boc,-1
Gaia22bob,0
Gaia22boa,0
Gaia22bnz,0
Gaia22bnx,0
Gaia22bnw,0
Gaia22bnt,0
Gaia22bns,0
Gaia22bnr,-1
Gaia22bnq,-1
Gaia22bnp,0
Gaia22bnn,0
Gaia22bnl,-1
Gaia22bnk,-1
Gaia22bnj,-1
Gaia22bni,-1
Gaia22bnh,-1
Gaia22bng,-1
Gaia22bnb,0
Gaia22bmz,0
Gaia22bmx,0
Gaia22bmw,-1
Gaia22bmv,-1
Gaia22bmu,-1
Gaia22bmt,0
Gaia22bms,0
Gaia22bmq,-1
Gaia22bmp,-1
Gaia22bmm,12
Gaia22bml,0
Gaia22bmk,-1
Gaia22bmj,0
Gaia22bmh,-1
Gaia22bmg,0
Gaia22bmf,0
Gaia22bme,0
Gaia22bmd,0
Gaia22bmb,0
Gaia22bma,-1
Gaia22blz,0
Gaia22blw,-1
Gaia22blv,0
Gaia22blu,0
Gaia22blt,-1
Gaia22bls,0
Gaia22blr,0
Gaia22bln,0
Gaia22blm,0
Gaia22bll,-1
Gaia22blk,0
Gaia22blh,0
Gaia22blg,-1
Gaia22blf,0
Gaia22ble,0
Gaia22bld,0
Gaia22blc,0
Gaia22bla,-1
Gaia22bkz,0
Gaia22bky,-1
Gaia22bkx,-1
Gaia22bkw,-1
Gaia22bkv,0
Gaia22bku,0
Gaia22bkt,-1
Gaia22bks,-1
Gaia22bkr,0
Gaia22bkq,0
Gaia22bko,0
Gaia22bkm,0
Gaia22bkl,0
Gaia22bkj,-1
Gaia22bki,0
Gaia22bkh,0
Gaia22bkg,-1
Gaia22bkd,0
Gaia22bkc,0
Gaia22bkb,0
Gaia22bka,0
Gaia22bjz,-1
Gaia22bjy,-1
Gaia22bjx,0
Gaia22bjw,0
Gaia22bju,0
Gaia22bjt,0
Gaia22bjr,0
Gaia22bjq,0
Gaia22bjp,0
Gaia22bjo,0
Gaia22bjn,-1
Gaia22bjm,0
Gaia22bjk,0
Gaia22bjj,0
Gaia22bji,0
Gaia22bjh,13
Gaia22bjg,0
Gaia22bje,-1
Gaia22bjd,0
Gaia22bjc,0
Gaia22bjb,0
Gaia22biy,-1
Gaia22biw,0
Gaia22biv,-1
Gaia22biu,0
Gaia22bit,0
Gaia22bis,-1
Gaia22bir,0
Gaia22biq,-1
Gaia22bip,0
Gaia22bin,0
Gaia22bim,0
Gaia22bil,0
Gaia22bik,0
Gaia22bij,0
Gaia22bii,0
Gaia22bih,0
Gaia22big,0
Gaia22bif,-1
Gaia22bie,0
Gaia22bid,-1
Gaia22bib,0
Gaia22bia,0
Gaia22bhz,0
Gaia22bhy,0
Gaia22bhv,-1
Gaia22bhs,0
